ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (July 2025)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*).

Date,Hour,Central/Western,Southern,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,North,Tap Mun,Causeway Bay,Central,Mong Kok
2025-07-06,01,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,02,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,03,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,04,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,05,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
,06,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2
,07,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2
,08,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,09,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
,10,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3
,11,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3
,12,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4
,13,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5
,14,6,6,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6
,15,7,7,6,6,7,7,7,6,8,7,7,7,6,7,6,7,6,8
,16,8,7,7,7,8,7,7,7,8,7,7,7,7,7,7,7,7,8
,17,7,7,7,7,8,7,7,7,8,7,7,8,8,8,7,7,7,8
,18,6,6,6,7,6,6,6,7,7,6,6,7,7,8,7,7,6,7
,19,5,5,6,6,5,5,5,6,6,5,5,7,6,7,7,6,5,6
,20,4,4,5,5,4,4,4,5,4,4,4,6,5,6,7,5,4,5
,21,3,4,4,4,3,4,4,4,3,3,4,5,4,5,5,4,3,4
,22,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,3,3
,23,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,24,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,Daily Max,8,7,7,7,8,7,7,7,8,7,7,8,8,8,7,7,7,8
2025-07-07,01,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,02,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
,03,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
,04,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
,05,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
